Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Giridih,03/03/2018,10.88,White,1800,1940,1900,
,06/03/2018,6.99,White,1700,1850,1800,
,10/03/2018,8.55,White,1700,1920,1850,
,14/03/2018,8.52,White,1700,1820,1800,
,16/03/2018,6.33,White,1700,1890,1820,
,22/03/2018,8.35,White,1700,1890,1800,
,24/03/2018,8.75,White,1700,1890,1800,
,27/03/2018,8.55,White,1800,1950,1900,
,28/03/2018,8.65,White,1800,1860,1850,
,29/03/2018,9.55,White,1800,1890,1860,
,30/03/2018,9.77,White,1800,1980,1900,
