Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chandigarh(Grain/Fruit),02/10/2018,10.85,Other,2000,3000,2500,
Chandigarh(Grain/Fruit),03/10/2018,14.75,Other,2000,3000,2500,
Chandigarh(Grain/Fruit),04/10/2018,16.3, ,NR,NR,NR,
Chandigarh(Grain/Fruit),05/10/2018,17.45, ,NR,NR,NR,
Chandigarh(Grain/Fruit),06/10/2018,17.75,Other,1500,3000,2250,
Chandigarh(Grain/Fruit),07/10/2018,20.55,Other,1500,3000,2250,
Chandigarh(Grain/Fruit),09/10/2018,25.7,Other,1500,3000,2250,
Chandigarh(Grain/Fruit),10/10/2018,9,Other,2500,3500,3000,
Chandigarh(Grain/Fruit),11/10/2018,14.63,Other,2000,3500,2750,
Chandigarh(Grain/Fruit),12/10/2018,9.93,Other,2500,3500,3000,
Chandigarh(Grain/Fruit),13/10/2018,16.18,Other,2000,3000,2500,
Chandigarh(Grain/Fruit),14/10/2018,24.43,Other,2000,3000,2500,
Chandigarh(Grain/Fruit),16/10/2018,25.82,Other,1000,2000,1500,
Chandigarh(Grain/Fruit),17/10/2018,23.9,Other,1000,2000,1500,
Chandigarh(Grain/Fruit),18/10/2018,18.55,Other,1000,2000,1500,
Chandigarh(Grain/Fruit),19/10/2018,25.35,Other,1000,1500,1250,
Chandigarh(Grain/Fruit),20/10/2018,21.18,Other,1000,1500,1250,
Chandigarh(Grain/Fruit),21/10/2018,41.25,Other,800,1500,1150,
Chandigarh(Grain/Fruit),23/10/2018,36.55,Other,800,1000,900,
Chandigarh(Grain/Fruit),24/10/2018,40.23,Other,800,1000,900,
Chandigarh(Grain/Fruit),25/10/2018,21.32, ,NR,NR,NR,
Chandigarh(Grain/Fruit),26/10/2018,17.75, ,NR,NR,NR,
Chandigarh(Grain/Fruit),27/10/2018,21.75,Other,500,600,550,
Chandigarh(Grain/Fruit),28/10/2018,39.2,Other,300,500,400,
Chandigarh(Grain/Fruit),30/10/2018,39.38,Other,400,600,500,
Chandigarh(Grain/Fruit),31/10/2018,40.75,Other,400,600,500,
