Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,01/07/2019,11.5,Gwar,2000,3600,2800,
Azadpur,02/07/2019,19.3,Gwar,2000,3600,2800,
Azadpur,03/07/2019,12.2,Gwar,2000,3600,2800,
Azadpur,04/07/2019,32.4,Gwar,1400,2600,2000,
Azadpur,05/07/2019,25.3,Gwar,1400,2600,2000,
Azadpur,06/07/2019,26.3,Gwar,1400,2600,2000,
Azadpur,08/07/2019,28.5,Gwar,1400,2600,2000,
Azadpur,09/07/2019,31.3,Gwar,1400,3000,2200,
Azadpur,10/07/2019,16.5,Gwar,1400,3000,2200,
Azadpur,11/07/2019,12.7,Gwar,1400,3000,2200,
Azadpur,12/07/2019,25.9,Gwar,1400,3000,2200,
Azadpur,13/07/2019,19.3,Gwar,1400,3000,2200,
Azadpur,15/07/2019,26.1,Gwar,1400,3000,2200,
Azadpur,16/07/2019,41.4,Gwar,1800,3200,2600,
Azadpur,17/07/2019,28,Gwar,1800,3400,2700,
Azadpur,18/07/2019,20.4,Gwar,1800,3600,2800,
Azadpur,20/07/2019,19.3,Gwar,1800,3600,2800,
Azadpur,22/07/2019,31.3,Gwar,1800,3400,2700,
Azadpur,23/07/2019,39.8,Gwar,1800,3400,2700,
Azadpur,24/07/2019,16,Gwar,1800,3400,2700,
Azadpur,25/07/2019,36.5,Gwar,1800,3600,2800,
Azadpur,26/07/2019,25.6,Gwar,1800,3600,2800,
Azadpur,29/07/2019,37.4,Gwar,1800,3800,2900,
Azadpur,30/07/2019,34,Gwar,1800,3800,2900,
Azadpur,31/07/2019,13.3,Gwar,1800,4000,2900,
Najafgarh,12/07/2019,0.5,Gwar,3704,3704,3704,
