Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Narwal Jammu (F&V),01/01/2020,37, ,NR,NR,NR,
Narwal Jammu (F&V),03/01/2020,38, ,NR,NR,NR,
Narwal Jammu (F&V),06/01/2020,38, ,NR,NR,NR,
Narwal Jammu (F&V),07/01/2020,39, ,NR,NR,NR,
Narwal Jammu (F&V),09/01/2020,42, ,NR,NR,NR,
Narwal Jammu (F&V),10/01/2020,43, ,NR,NR,NR,
Narwal Jammu (F&V),18/01/2020,42, ,NR,NR,NR,
Narwal Jammu (F&V),20/01/2020,54, ,NR,NR,NR,
Narwal Jammu (F&V),21/01/2020,52, ,NR,NR,NR,
Narwal Jammu (F&V),23/01/2020,50, ,NR,NR,NR,
Narwal Jammu (F&V),24/01/2020,52, ,NR,NR,NR,
Narwal Jammu (F&V),25/01/2020,48, ,NR,NR,NR,
Narwal Jammu (F&V),27/01/2020,52, ,NR,NR,NR,
Narwal Jammu (F&V),28/01/2020,48,Other,1100,1300,1200,
Narwal Jammu (F&V),29/01/2020,46,Other,1300,1500,1400,
Narwal Jammu (F&V),30/01/2020,44,Other,1300,1500,1400,
Narwal Jammu (F&V),31/01/2020,46,Other,1300,1700,1500,
Samba,05/01/2020,8.5, ,NR,NR,NR,
Samba,06/01/2020,7.5, ,NR,NR,NR,
Samba,07/01/2020,7.5, ,NR,NR,NR,
Samba,08/01/2020,7.5, ,NR,NR,NR,
Samba,09/01/2020,6.5, ,NR,NR,NR,
Samba,22/01/2020,7.5, ,NR,NR,NR,
Samba,24/01/2020,6, ,NR,NR,NR,
Samba,25/01/2020,7.5, ,NR,NR,NR,
Samba,27/01/2020,8, ,NR,NR,NR,
Samba,29/01/2020,8.3, ,NR,NR,NR,
Samba,30/01/2020,7.5, ,NR,NR,NR,
Udhampur,21/01/2020,2.6,Other,1000,1500,1200,
Udhampur,28/01/2020,2.9,Other,1200,1800,1500,
Udhampur,29/01/2020,3,Other,1200,1800,1500,
