Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/08/2019,42.1,Other,6025,6200,6080,
Adampur,02/08/2019,106.5,Other,5500,6140,6000,
Adampur,03/08/2019,46.9,Other,5500,6140,5961,
Adampur,05/08/2019,68.3,Other,5800,6200,5961,
Adampur,06/08/2019,26.2,Other,5760,5900,5830,
Adampur,07/08/2019,49.2,Other,5500,5835,5825,
Adampur,08/08/2019,36.8,Other,5670,5830,5800,
Adampur,09/08/2019,46.1,Other,5785,5900,5800,
Adampur,10/08/2019,49.9,Other,5640,5915,5870,
Adampur,12/08/2019,37.7,Other,5500,5925,5640,
Adampur,13/08/2019,40.6,Other,5640,5960,5925,
Adampur,14/08/2019,25.6,Other,5640,5995,5840,
Adampur,15/08/2019,25.6,Other,5640,5995,5840,
Adampur,16/08/2019,17.1,Other,5970,6025,6020,
Adampur,17/08/2019,9.1,Other,5940,6035,5940,
Adampur,19/08/2019,52.3,Other,5500,6025,5970,
Adampur,20/08/2019,39,Other,5810,6000,5885,
Adampur,21/08/2019,25.5,Other,5100,5950,5900,
Adampur,22/08/2019,57.2,Other,5100,5925,5900,
Adampur,23/08/2019,46.5,Other,5225,5930,5925,
Adampur,24/08/2019,69.2,Other,5201,5925,5911,
Adampur,26/08/2019,50.5,Other,5050,5920,5840,
Adampur,27/08/2019,43.4,Other,5221,5911,5600,
Adampur,28/08/2019,53.2,Other,5300,5901,5600,
Adampur,29/08/2019,63.3,Other,5125,5901,5870,
Adampur,30/08/2019,70,Other,5150,5940,5225,
Adampur,31/08/2019,105.8,Other,5000,5920,5280,
Narnaund,21/08/2019,29,Other,5350,5450,5400,
Tosham,21/08/2019,7,American,5100,5150,5150,
