Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhainsa,04/03/2020,4.1, ,NR,NR,NR,
,06/03/2020,1.7, ,NR,NR,NR,
Nizamabad,04/03/2020,0.4, ,NR,NR,NR,
Pitlam,03/03/2020,10.1, ,NR,NR,NR,
,08/03/2020,10, ,NR,NR,NR,
,10/03/2020,11, ,NR,NR,NR,
,13/03/2020,11, ,NR,NR,NR,
,21/03/2020,10, ,NR,NR,NR,
,27/03/2020,10, ,NR,NR,NR,
,30/03/2020,10, ,NR,NR,NR,
,31/03/2020,10, ,NR,NR,NR,
Warangal,12/03/2020,0.3, ,NR,NR,NR,
Zaheerabad,03/03/2020,8,Black,3600,3600,3600,
,05/03/2020,3.5,Black,3558,3558,3558,
,11/03/2020,3.5,Black,3200,3200,3200,
,12/03/2020,0.5,Black,3100,3100,3100,
,13/03/2020,1.5,Black,3526,3526,3526,
,19/03/2020,20,Black,3211,3211,3211,
