Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jalukie,06/04/2018,1,Other,2800,3100,2900,
Kipheri,27/04/2018,20,Potato,2000,2200,2100,
Kohima,16/04/2018,14,Potato,800,1000,900,
Kohima,17/04/2018,13,Potato,1000,1200,1100,
Kohima,18/04/2018,12,Potato,1100,1300,1200,
Kohima,19/04/2018,13,Potato,1000,1200,1100,
Kohima,20/04/2018,14,Potato,800,1000,900,
Kohima,21/04/2018,12,Potato,1100,1300,1200,
Kohima,23/04/2018,13,Potato,1000,1200,1100,
Kohima,24/04/2018,13,Potato,1000,1200,1100,
Kohima,25/04/2018,13,Potato,1000,1200,1100,
Kohima,26/04/2018,14,Potato,800,1000,900,
Kohima,27/04/2018,12,Potato,1100,1300,1200,
Kohima,28/04/2018,13,Potato,1000,1200,1100,
Kohima,30/04/2018,13,Potato,1000,1200,1100,
Longleng,06/04/2018,14,Potato,1300,1500,1400,
Longleng,13/04/2018,14,Potato,1300,1500,1400,
Longleng,20/04/2018,17,Potato,1000,1200,1100,
Longleng,27/04/2018,16,Potato,2000,2200,2100,
Pfatsero,06/04/2018,15,Potato,1200,1400,1300,
Pfatsero,13/04/2018,16,Potato,1000,1200,1100,
Pfatsero,20/04/2018,18,Potato,1000,1200,1100,
Pfatsero,27/04/2018,19,Potato,2000,2200,2100,
Tenning,27/04/2018,21,Potato,2000,2200,2100,
Tuensang,30/04/2018,16,Potato,2000,2200,2100,
