Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bangalore,02/04/2020,6,Other,5000,5800,5400,
Bangalore,08/04/2020,20,Other,5000,5800,5400,
Bangalore,09/04/2020,21,Other,5000,5800,5400,
Bangalore,13/04/2020,30,Other,5000,5800,5400,
Bangalore,16/04/2020,76,Other,5000,5800,5400,
Bangalore,18/04/2020,64,Other,5000,5800,5400,
Bangalore,21/04/2020,136,Other,5000,5800,5400,
Bangalore,23/04/2020,14,Other,5800,6500,6150,
Bangalore,28/04/2020,229,Other,5800,6500,6150,
Bangalore,30/04/2020,42,Other,5800,6500,6150,
Mysore (Bandipalya),20/04/2020,15,Other,6000,6400,6200,
Mysore (Bandipalya),23/04/2020,6,Other,6000,6450,6200,
Mysore (Bandipalya),27/04/2020,30,Other,5600,6400,6000,
Shimoga,16/04/2020,2,Other,3000,4200,3600,
Shimoga,20/04/2020,1,Other,3100,4100,3600,
Shimoga,21/04/2020,1,Other,3800,4100,3950,
Shimoga,30/04/2020,5,Other,5500,5800,5650,
