Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Shillong,02/09/2019,1,Local,4000,5500,5000,
,03/09/2019,1.5,Local,4500,5500,5000,
,04/09/2019,1.5,Local,4500,5500,5300,
,05/09/2019,1.5,Local,4500,5500,5000,
,06/09/2019,2,Local,4000,5500,4500,
,09/09/2019,1,Local,4000,5500,4800,
,10/09/2019,1.5,Local,4000,5000,4500,
,11/09/2019,2,Local,4000,5000,4500,
,12/09/2019,2,Local,4000,5000,4800,
,13/09/2019,3,Local,3500,4000,3800,
,16/09/2019,2.5,Local,3500,4300,4000,
,17/09/2019,2.7,Local,3500,4500,4000,
,18/09/2019,2,Local,3500,4000,3700,
,19/09/2019,2.3,Local,3500,4000,3800,
,20/09/2019,1.5,Local,3500,4500,4000,
,23/09/2019,1.5,Local,3000,3800,3500,
,24/09/2019,2,Local,3000,3800,3500,
,25/09/2019,2.5,Local,3000,3800,3500,
,26/09/2019,3.5,Local,3500,4000,3800,
,27/09/2019,2.5,Local,3200,3800,3600,
,30/09/2019,2,Local,3500,4500,4000,
