Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,17/05/2019,55.9,Other,6270,6351,6331,
,18/05/2019,65.7,Other,6278,6345,6330,
,20/05/2019,31.5,Other,6300,6396,6360,
,21/05/2019,9.6,Other,6330,6414,6390,
,22/05/2019,9.6,Other,6385,6403,6395,
,23/05/2019,2.9,Other,5100,6345,6115,
,25/05/2019,10.6,Other,6330,6538,6450,
,27/05/2019,32.3, ,NR,NR,NR,
,28/05/2019,8.3,Other,6511,6570,6560,
,29/05/2019,85.1,Other,6300,6585,6400,
,30/05/2019,39.9,Other,6405,6570,6450,
,31/05/2019,24.2,Other,6350,6450,6400,
Bhattu Kalan,18/05/2019,1.4,American,6325,6325,6325,
,20/05/2019,3,American,6300,6350,6300,
,22/05/2019,2.5,American,6380,6380,6380,
,27/05/2019,2,American,6400,6400,6400,
,29/05/2019,1,American,6525,6525,6525,
Ding,03/05/2019,19.5,American,5200,5500,5200,
,06/05/2019,13.8,American,6225,6225,6225,
,07/05/2019,4,American,6250,6250,6250,
,13/05/2019,11.5,American,6215,6215,6215,
,21/05/2019,6,American,6270,6270,6270,
Narnaund,15/05/2019,1,Other,6250,6300,6300,
,16/05/2019,8,Other,6200,6300,6300,
Sirsa,01/05/2019,69.7,American,6224,6342,6300,
,02/05/2019,88.8,American,6171,6440,6315,
,03/05/2019,91.2,American,6300,6359,6350,
,04/05/2019,122.8,American,6130,6300,6280,
,06/05/2019,79.2,American,6234,6341,6300,
,07/05/2019,82,American,6250,6279,6260,
,08/05/2019,46.6,American,6280,6319,6314,
,09/05/2019,40.8,American,6165,6315,6300,
,10/05/2019,56.3,American,6270,6319,6300,
,11/05/2019,89.6,American,6264,6311,6294,
,13/05/2019,97.8,American,6134,6315,6304,
,14/05/2019,92.2,American,6080,6324,6225,
,15/05/2019,89.4,American,6184,6314,6200,
,16/05/2019,36.1,American,6190,6287,6244,
,17/05/2019,77.9,American,6250,6300,6280,
,18/05/2019,74.7,American,6240,6300,6290,
,20/05/2019,142.8,American,5800,6344,6300,
,21/05/2019,72.8,American,6250,6344,6321,
,22/05/2019,74.3,American,6235,6344,6285,
,23/05/2019,105.6,American,6000,6336,6285,
,24/05/2019,82.4,American,6294,6344,6300,
,25/05/2019,84.3,American,6275,6434,6350,
,27/05/2019,150.4,American,6319,6500,6485,
,28/05/2019,86.6,American,4000,6454,6441,
,29/05/2019,47,American,6375,6424,6419,
,30/05/2019,35.4,American,6254,6369,6350,
,31/05/2019,22.2,American,6300,6334,6309,
