Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/06/2018,0.6,Tomato,1000,1500,1000,
,06/06/2018,5,Tomato,600,800,700,
,07/06/2018,2.5,Tomato,500,900,800,
,08/06/2018,13,Tomato,400,650,500,
,09/06/2018,10,Tomato,300,500,400,
,11/06/2018,15,Tomato,400,600,500,
,12/06/2018,10,Tomato,200,500,400,
,13/06/2018,10,Tomato,300,500,400,
,14/06/2018,15,Tomato,300,600,500,
,15/06/2018,10,Tomato,300,600,500,
,16/06/2018,6,Tomato,300,500,400,
,18/06/2018,2,Tomato,200,500,400,
,19/06/2018,1,Tomato,750,1100,975,
,20/06/2018,8,Tomato,700,1500,900,
,21/06/2018,4.5,Tomato,700,1200,950,
,22/06/2018,8.5, ,NR,NR,NR,
,25/06/2018,4,Tomato,800,1500,1250,
,26/06/2018,5.5,Tomato,850,1650,1050,
,27/06/2018,6.5,Tomato,1250,1900,1475,
,28/06/2018,4.5,Tomato,1650,2000,1800,
,29/06/2018,9,Tomato,1000,2400,1600,
,30/06/2018,5,Tomato,1500,2500,1850,
Adampur,04/06/2018,0.4,Other,300,400,400,
,06/06/2018,1.3,Other,400,500,500,
,07/06/2018,1.2,Other,400,500,500,
,12/06/2018,2,Other,300,400,400,
,13/06/2018,2,Other,300,500,500,
,14/06/2018,1.5,Other,300,400,400,
,18/06/2018,1.5,Other,800,900,900,
,21/06/2018,1.9,Other,900,1000,1000,
,22/06/2018,1,Other,800,1000,1000,
,25/06/2018,0.8,Other,1000,1200,1200,
,26/06/2018,1.4,Other,400,500,500,
,27/06/2018,2,Other,400,500,500,
Ahmedgarh,01/06/2018,0.05,Other,400,600,500,
,13/06/2018,0.3,Other,300,500,400,
,14/06/2018,0.1,Other,400,600,500,
,15/06/2018,0.1,Other,600,750,700,
,16/06/2018,0.1,Other,500,700,600,
,17/06/2018,0.1,Other,600,800,700,
,18/06/2018,0.1,Other,600,750,700,
,19/06/2018,0.1,Other,1300,1500,1400,
,20/06/2018,0.15,Other,1300,1500,1400,
,21/06/2018,0.1,Other,1300,1500,1400,
,22/06/2018,0.15,Other,1200,1400,1300,
,23/06/2018,0.1,Other,1600,1800,1700,
,24/06/2018,0.1, ,NR,NR,NR,
,25/06/2018,0.1, ,NR,NR,NR,
Ajnala,01/06/2018,0.4,Deshi,300,500,400,
,02/06/2018,0.5,Deshi,300,400,300,
,03/06/2018,0.5,Deshi,300,400,400,
,04/06/2018,0.3,Deshi,300,400,400,
,05/06/2018,0.4,Deshi,400,500,400,
,06/06/2018,0.3,Deshi,400,500,400,
,07/06/2018,0.35,Deshi,400,400,400,
,08/06/2018,1,Deshi,300,500,400,
,09/06/2018,1,Deshi,300,500,400,
,10/06/2018,0.4,Deshi,400,400,400,
,11/06/2018,0.25,Deshi,300,400,400,
,12/06/2018,0.8,Deshi,300,400,400,
,13/06/2018,0.3,Deshi,300,400,300,
,14/06/2018,0.55,Deshi,300,400,400,
,15/06/2018,0.55,Deshi,300,400,300,
,16/06/2018,1.7,Deshi,300,400,300,
,17/06/2018,1.1,Deshi,300,400,300,
,19/06/2018,0.8,Deshi,300,400,300,
,20/06/2018,1,Deshi,300,500,400,
,21/06/2018,0.5,Deshi,300,400,300,
,22/06/2018,1,Deshi,300,500,400,
,23/06/2018,0.5,Deshi,400,500,500,
,25/06/2018,1,Deshi,300,500,400,
,26/06/2018,1.3,Deshi,300,500,400,
,27/06/2018,0.7,Deshi,300,500,400,
,28/06/2018,1.3,Deshi,300,500,400,
