2016-01-01,1298
2016-01-02,1252
2016-01-04,1257
2016-01-05,1264
2016-01-06,1293
2016-01-07,1282
2016-01-08,1282
2016-01-09,1171
2016-01-11,1130
2016-01-12,1123
2016-01-13,1102
2016-01-14,1089
2016-01-15,1096
2016-01-16,1093
2016-01-18,1093
2016-01-20,0
2016-01-21,1139
2016-01-22,1089
2016-01-23,1089
2016-01-25,0
2016-01-27,0
2016-01-28,1077
2016-01-29,1089
2016-01-30,0
2016-02-01,0
2016-02-02,0
2016-02-03,996
2016-02-04,968
2016-02-05,916
2016-02-06,904
2016-02-08,830
2016-02-09,0
2016-02-10,830
2016-02-11,834
2016-02-12,820
2016-02-13,850
2016-02-15,805
2016-02-16,879
2016-02-17,896
2016-02-18,907
2016-02-19,0
2016-02-20,907
2016-02-22,946
2016-02-23,946
2016-02-24,963
2016-02-25,932
2016-02-26,0
2016-02-27,932
2016-02-29,914
2016-03-01,907
2016-03-02,0
2016-03-03,889
2016-03-04,916
2016-03-05,0
2016-03-07,932
2016-03-08,932
2016-03-09,957
2016-03-10,936
2016-03-11,939
2016-03-12,982
2016-03-14,979
2016-03-15,971
2016-03-16,0
2016-03-17,0
2016-03-18,952
2016-03-19,952
2016-03-21,919
2016-03-22,919
2016-03-23,0
2016-03-25,919
2016-03-26,919
2016-03-28,973
2016-03-29,0
2016-03-30,0
2016-03-31,973
2016-04-01,948
2016-04-02,948
2016-04-04,883
2016-04-05,858
2016-04-06,858
2016-04-07,0
2016-04-08,813
2016-04-09,813
2016-04-11,0
2016-04-12,806
2016-04-13,786
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-18,804
2016-04-19,783
2016-04-20,783
2016-04-21,822
2016-04-22,822
2016-04-23,822
2016-04-25,783
2016-04-26,783
2016-04-27,783
2016-04-28,783
2016-04-29,779
2016-04-30,768
2016-05-02,721
2016-05-03,721
2016-05-04,0
2016-05-05,721
2016-05-06,688
2016-05-07,688
2016-05-09,758
2016-05-10,736
2016-05-11,736
2016-05-12,736
2016-05-13,702
2016-05-14,702
2016-05-16,686
2016-05-17,698
2016-05-18,698
2016-05-19,698
2016-05-20,698
2016-05-21,698
2016-05-23,619
2016-05-24,617
2016-05-25,617
2016-05-26,617
2016-05-27,633
2016-05-28,666
2016-05-30,666
2016-05-31,689
2016-06-01,689
2016-06-02,689
2016-06-03,689
2016-06-04,697
2016-06-06,697
2016-06-07,686
2016-06-08,686
2016-06-09,628
2016-06-10,628
2016-06-11,628
2016-06-13,733
2016-06-14,778
2016-06-15,778
2016-06-16,778
2016-06-17,778
2016-06-18,743
2016-06-20,738
2016-06-21,619
2016-06-22,619
2016-06-24,650
2016-06-25,0
2016-06-27,650
2016-06-28,697
2016-06-29,733
2016-06-30,738
2016-07-01,738
2016-07-02,738
2016-07-04,723
2016-07-05,733
2016-07-06,733
2016-07-07,733
2016-07-08,723
2016-07-09,723
2016-07-11,798
2016-07-12,798
2016-07-13,844
2016-07-14,833
2016-07-15,775
2016-07-16,775
2016-07-18,769
2016-07-19,738
2016-07-20,744
2016-07-21,744
2016-07-22,738
2016-07-23,738
2016-07-25,747
2016-07-26,858
2016-07-27,827
2016-07-28,821
2016-07-29,821
2016-07-30,839
2016-08-01,777
2016-08-02,777
2016-08-03,816
2016-08-04,816
2016-08-05,882
2016-08-06,882
2016-08-08,789
2016-08-09,789
2016-08-10,789
2016-08-11,789
2016-08-12,732
2016-08-13,732
2016-08-16,739
2016-08-17,739
2016-08-18,739
2016-08-19,739
2016-08-20,729
2016-08-22,729
2016-08-23,729
2016-08-25,779
2016-08-26,739
2016-08-27,709
2016-08-29,730
2016-08-30,766
2016-08-31,671
2016-09-01,686
2016-09-02,707
2016-09-03,707
2016-09-05,704
2016-09-06,704
2016-09-07,675
2016-09-08,675
2016-09-09,675
2016-09-10,661
2016-09-12,686
2016-09-13,636
2016-09-15,654
2016-09-16,638
2016-09-17,606
2016-09-19,603
2016-09-20,619
2016-09-22,606
2016-09-23,606
2016-09-24,606
2016-09-26,647
2016-09-27,647
2016-09-28,617
2016-09-29,555
2016-09-30,555
2016-10-01,555
2016-10-03,594
2016-10-04,594
2016-10-05,594
2016-10-06,601
2016-10-07,731
2016-10-08,649
2016-10-10,731
2016-10-11,731
2016-10-12,723
2016-10-13,785
2016-10-14,785
2016-10-15,803
2016-10-17,760
2016-10-18,766
2016-10-19,766
2016-10-20,727
2016-10-21,727
2016-10-22,647
2016-10-24,631
2016-10-25,620
2016-10-26,691
2016-10-27,693
2016-10-28,714
2016-10-29,728
2016-10-31,728
2016-11-01,695
2016-11-02,695
2016-11-03,695
2016-11-04,693
2016-11-05,795
2016-11-07,795
2016-11-08,839
2016-11-09,1032
2016-11-10,1025
2016-11-12,948
2016-11-14,948
2016-11-15,891
2016-11-16,891
2016-11-17,902
2016-11-18,902
2016-11-19,920
2016-11-21,836
2016-11-22,825
2016-11-23,848
2016-11-24,865
2016-11-25,865
2016-11-26,865
2016-11-28,865
2016-11-29,852
2016-11-30,775
2016-12-01,781
2016-12-02,731
2016-12-03,738
2016-12-05,754
2016-12-06,806
2016-12-07,821
2016-12-08,821
2016-12-09,821
2016-12-10,806
2016-12-11,806
2016-12-13,806
2016-12-14,817
2016-12-15,835
2016-12-16,831
2016-12-17,831
2016-12-19,738
2016-12-20,738
2016-12-21,727
2016-12-22,727
2016-12-23,727
2016-12-24,727
2016-12-26,721
2016-12-27,721
2016-12-28,685
2016-12-29,685
2016-12-30,685
2016-12-31,685
2017-01-02,688
2017-01-03,688
2017-01-04,688
2017-01-05,670
2017-01-06,817
2017-01-07,817
2017-01-09,822
2017-01-10,822
2017-01-11,822
2017-01-12,822
2017-01-13,822
2017-01-14,822
2017-01-16,763
2017-01-17,763
2017-01-18,763
2017-01-19,747
2017-01-20,747
2017-01-21,703
2017-01-23,751
2017-01-24,751
2017-01-25,751
2017-01-28,735
2017-01-30,735
2017-01-31,739
2017-02-01,722
2017-02-02,722
2017-02-03,713
2017-02-04,713
2017-02-06,715
2017-02-07,714
2017-02-08,714
