2016-01-02,2900
2016-01-02,2900
2016-01-03,2100
2016-01-03,2100
2016-01-04,2900
2016-01-04,2900
2016-01-05,1500
2016-01-05,1500
2016-01-06,1700
2016-01-06,1700
2016-01-07,2000
2016-01-07,2000
2016-01-08,1100
2016-01-08,1100
2016-01-09,1900
2016-01-09,1900
2016-01-10,2500
2016-01-10,2500
2016-01-12,1300
2016-01-12,1300
2016-01-13,1100
2016-01-13,1100
2016-01-14,1100
2016-01-14,1100
2016-01-16,1700
2016-01-16,1700
2016-01-17,1300
2016-01-17,1300
2016-01-19,800
2016-01-19,800
2016-01-21,900
2016-01-21,900
2016-01-22,700
2016-01-22,700
2016-01-23,500
2016-01-23,500
2016-01-24,800
2016-01-24,800
2016-01-25,900
2016-01-25,900
2016-01-27,1400
2016-01-27,1400
2016-01-28,1300
2016-01-28,1300
2016-01-29,1300
2016-01-29,1300
2016-01-30,1100
2016-01-30,1100
2016-01-31,900
2016-01-31,900
2016-02-01,800
2016-02-01,800
2016-02-02,450
2016-02-02,450
2016-02-03,400
2016-02-03,400
2016-02-05,600
2016-02-05,600
2016-02-08,450
2016-02-08,450
2016-02-09,500
2016-02-09,500
2016-02-10,600
2016-02-10,600
2016-02-11,325
2016-02-11,325
2016-02-12,350
2016-02-12,350
2016-02-13,350
2016-02-13,350
2016-02-14,350
2016-02-14,350
2016-02-15,225
2016-02-15,225
2016-02-16,250
2016-02-16,250
2016-02-17,225
2016-02-17,225
2016-02-18,350
2016-02-18,350
2016-02-19,325
2016-02-19,325
2016-02-20,225
2016-02-20,225
2016-02-21,325
2016-02-21,325
2016-02-22,450
2016-02-22,450
2016-02-23,225
2016-02-23,225
2016-02-25,200
2016-02-25,200
2016-02-26,200
2016-02-26,200
2016-02-27,325
2016-02-27,325
2016-02-29,200
2016-02-29,200
2016-03-01,225
2016-03-03,200
2016-03-04,250
2016-03-05,250
2016-03-06,550
2016-03-07,450
2016-03-08,225
2016-03-09,225
2016-03-10,250
2016-03-11,325
2016-03-12,200
2016-03-13,225
2016-03-15,350
2016-03-16,325
2016-03-17,325
2016-03-18,325
2016-03-19,325
2016-03-20,225
2016-03-21,225
2016-03-22,325
2016-03-23,325
2016-03-24,650
2016-03-25,650
2016-03-26,325
2016-03-27,425
2016-03-28,325
2016-03-29,325
2016-03-30,450
2016-03-31,325
2016-04-01,325
2016-04-02,325
2016-04-03,450
2016-04-04,550
2016-04-05,650
2016-04-06,950
2016-04-07,900
2016-04-08,650
2016-04-09,750
2016-04-10,550
2016-04-11,550
2016-04-12,650
2016-04-13,350
2016-04-15,750
2016-04-16,650
2016-04-17,1100
2016-04-18,1300
2016-04-19,1400
2016-04-20,1400
2016-04-21,1400
2016-04-22,1300
2016-04-23,1300
2016-04-24,1300
2016-04-25,1400
2016-04-26,1100
2016-04-27,1300
2016-04-28,1100
2016-04-29,900
2016-04-30,900
2016-05-01,1300
2016-05-02,1300
2016-05-06,1300
2016-05-07,1100
2016-05-08,1100
2016-05-09,650
2016-05-10,1300
2016-05-11,1500
2016-05-12,1100
2016-05-13,700
2016-05-14,1500
2016-05-15,1600
2016-05-16,1900
2016-05-17,1100
2016-05-18,1600
2016-05-19,1500
2016-05-20,2100
2016-05-22,1100
2016-05-23,800
2016-05-24,1100
2016-05-25,1600
2016-05-26,1100
2016-05-27,1100
2016-05-28,1100
2016-05-29,1100
2016-05-30,1600
2016-05-31,1100
2016-06-01,1300
2016-06-02,1100
2016-06-03,1600
2016-06-04,1300
2016-06-05,2600
2016-06-06,1700
2016-06-07,1100
2016-06-08,2100
2016-06-10,2100
2016-06-11,3100
2016-06-12,3100
2016-06-13,3600
2016-06-14,2600
2016-06-15,3600
2016-06-16,3600
2016-06-17,3100
2016-06-18,3100
2016-06-19,3300
2016-06-20,3100
2016-06-21,3100
2016-06-22,3600
2016-06-23,3600
2016-06-24,3600
2016-06-25,3600
2016-06-26,4100
2016-06-27,3100
2016-06-28,3100
2016-06-29,2300
2016-06-30,2300
2016-07-01,2600
2016-07-02,2100
2016-07-03,2300
2016-07-04,2800
2016-07-05,2100
2016-07-06,2300
2016-07-07,2100
2016-07-08,2400
2016-07-09,2100
2016-07-13,2400
2016-07-14,2100
2016-07-15,2300
2016-07-16,1900
2016-07-17,2100
2016-07-18,2500
2016-07-19,2100
2016-07-20,1600
2016-07-21,2100
2016-07-23,2100
2016-07-24,1900
2016-07-25,1600
2016-07-26,1600
2016-07-27,1100
2016-07-28,900
2016-07-29,1100
2016-07-30,1300
2016-07-31,1800
2016-08-01,1300
2016-08-02,1300
2016-08-03,900
2016-08-04,1300
2016-08-05,900
2016-08-06,600
2016-08-08,1100
2016-08-09,1100
