Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Najafgarh,01/02/2020,6.4, ,NR,NR,NR,
Najafgarh,02/02/2020,5.1, ,NR,NR,NR,
Najafgarh,03/02/2020,7.6, ,NR,NR,NR,
Najafgarh,09/02/2020,0.4, ,NR,NR,NR,
Najafgarh,11/02/2020,0.8, ,NR,NR,NR,
Najafgarh,13/02/2020,0.6, ,NR,NR,NR,
Najafgarh,15/02/2020,3.4, ,NR,NR,NR,
Najafgarh,16/02/2020,4.9, ,NR,NR,NR,
Najafgarh,17/02/2020,2.4, ,NR,NR,NR,
Narela,02/02/2020,0.8,Mustard,3750,3750,3750,
Narela,17/02/2020,0.6,Mustard,3001,3001,3001,
Narela,29/02/2020,0.4,Mustard,3900,3900,3900,
