Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mapusa,01/08/2018,4, ,NR,NR,NR,
Mapusa,02/08/2018,3.06, ,NR,NR,NR,
Mapusa,07/08/2018,12.8, ,NR,NR,NR,
Mapusa,08/08/2018,3.9, ,NR,NR,NR,
Mapusa,11/08/2018,2.58, ,NR,NR,NR,
Mapusa,12/08/2018,1.6, ,NR,NR,NR,
Mapusa,14/08/2018,0.3, ,NR,NR,NR,
Mapusa,15/08/2018,5.22, ,NR,NR,NR,
Mapusa,16/08/2018,7.34, ,NR,NR,NR,
Mapusa,17/08/2018,1.8, ,NR,NR,NR,
Mapusa,20/08/2018,3, ,NR,NR,NR,
Mapusa,21/08/2018,7.36, ,NR,NR,NR,
Mapusa,23/08/2018,1.1, ,NR,NR,NR,
Mapusa,24/08/2018,1.46, ,NR,NR,NR,
Mapusa,25/08/2018,7.4, ,NR,NR,NR,
Mapusa,27/08/2018,1.8, ,NR,NR,NR,
Mapusa,28/08/2018,1.2, ,NR,NR,NR,
Mapusa,29/08/2018,7.48, ,NR,NR,NR,
