Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kathua,10/02/2020,1.5,Other,3500,4000,3750,
Kathua,24/02/2020,2,Other,3000,3200,3100,
Kathua,25/02/2020,2.5,Other,3000,3200,3100,
Kathua,26/02/2020,2,Other,2500,3000,2750,
Narwal Jammu (F&V),03/02/2020,187, ,NR,NR,NR,
Narwal Jammu (F&V),04/02/2020,175, ,NR,NR,NR,
Narwal Jammu (F&V),08/02/2020,176, ,NR,NR,NR,
Narwal Jammu (F&V),13/02/2020,178,Other,2200,3000,2600,
Narwal Jammu (F&V),14/02/2020,182,Other,2200,3000,2600,
Narwal Jammu (F&V),19/02/2020,187,Other,2000,3000,2500,
Narwal Jammu (F&V),29/02/2020,175,Other,1500,3000,2250,
Samba,03/02/2020,6.2, ,NR,NR,NR,
Samba,04/02/2020,6.5, ,NR,NR,NR,
Samba,10/02/2020,8.5, ,NR,NR,NR,
Samba,12/02/2020,8.8, ,NR,NR,NR,
Samba,14/02/2020,6.9, ,NR,NR,NR,
Samba,15/02/2020,9.2, ,NR,NR,NR,
Samba,24/02/2020,7.8, ,NR,NR,NR,
Samba,29/02/2020,7.5, ,NR,NR,NR,
Udhampur,09/02/2020,13.5,Other,2200,3200,2500,
Udhampur,12/02/2020,13.8,Other,2200,3200,2500,
Udhampur,13/02/2020,13.8,Other,2200,3200,2500,
Udhampur,14/02/2020,13.4,Other,2200,3200,2500,
Udhampur,15/02/2020,13.4,Other,2200,3200,2500,
Udhampur,21/02/2020,14.5,Other,2200,3200,2500,
