Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arang,09/10/2018,16.3,Soyabeen,3115,3115,3115,
,28/10/2018,17.1, ,NR,NR,NR,
,30/10/2018,18.5,Soyabeen,3000,3000,3000,
Bazar Atriya,10/10/2018,15, ,NR,NR,NR,
,15/10/2018,10.4,Other,2500,3000,2800,
,24/10/2018,25.7,Other,2700,3000,2800,
Bemetara,01/10/2018,7,Yellow,2800,3000,3000,
,03/10/2018,12,Yellow,2900,2900,2900,
,04/10/2018,23,Yellow,2800,2800,2800,
,05/10/2018,15,Yellow,2800,2850,2850,
,07/10/2018,19.5,Yellow,2800,2800,2800,
,09/10/2018,47,Yellow,2600,2800,2700,
,10/10/2018,30.4,Yellow,2700,2900,2800,
,11/10/2018,38,Yellow,2800,2925,2850,
,13/10/2018,30.3,Yellow,2700,2800,2750,
,15/10/2018,55.3,Yellow,2700,2850,2750,
,16/10/2018,48,Yellow,2700,2800,2800,
,17/10/2018,552,Yellow,2600,2800,2700,
,18/10/2018,46.7,Yellow,2800,2900,2800,
,20/10/2018,72.7,Other,2700,2900,2800,
,21/10/2018,18.8,Yellow,2700,2875,2800,
,22/10/2018,104.8,Other,2500,2800,2700,
,23/10/2018,60.2,Yellow,2700,2800,2750,
,24/10/2018,29.1,Yellow,2800,2800,2800,
,25/10/2018,95.7,Yellow,2700,2800,2800,
,26/10/2018,95.4,Yellow,2700,2900,2800,
,27/10/2018,69.7,Yellow,2700,2800,2800,
,28/10/2018,32.1,Yellow,2700,2900,2800,
,29/10/2018,86,Yellow,2800,2900,2800,
,30/10/2018,112.6,Yellow,2700,2900,2800,
,31/10/2018,117.9,Yellow,2700,2950,2800,
Bhatapara,04/10/2018,8.4, ,NR,NR,NR,
,05/10/2018,3.9,Other,2105,2151,2151,
,06/10/2018,7.5, ,NR,NR,NR,
,09/10/2018,1.9, ,NR,NR,NR,
,10/10/2018,2.6,Other,2000,2871,2666,
,11/10/2018,0.8,Other,2699,2699,2699,
,13/10/2018,0.9,Other,2599,2599,2599,
,15/10/2018,4.5,Other,1700,2681,2521,
,16/10/2018,2.8,Other,2450,2851,2732,
,17/10/2018,0.4,Other,2675,2675,2675,
,22/10/2018,2.9,Other,2300,2671,2393,
,23/10/2018,4.8,Other,2460,2729,2675,
,24/10/2018,9.4,Other,2200,2700,2450,
,25/10/2018,3.2,Other,2200,2666,2645,
,26/10/2018,7,Other,2675,2874,2815,
,27/10/2018,3.1,Other,2600,2900,2701,
,29/10/2018,2.8,Other,2495,2800,2700,
,30/10/2018,2.1,Other,2895,2970,2895,
,31/10/2018,12,Other,2500,2961,2825,
Dongargaon,01/10/2018,28.2,Local,1906,3299,3030,
,03/10/2018,29.2,Local,2405,2938,2938,
,04/10/2018,25.9,Local,2891,3127,3127,
,08/10/2018,114.1,Local,2739,2975,2833,
,09/10/2018,183.1,Local,2880,3020,2957,
,10/10/2018,207.4,Local,2682,3040,3003,
,11/10/2018,270.5,Local,2765,3036,2871,
,12/10/2018,371.8,Local,2613,3075,2918,
,13/10/2018,888.8,Local,2581,3060,2998,
,15/10/2018,349.2,Local,2699,3082,2987,
,16/10/2018,427.9,Local,2689,3178,3063,
,17/10/2018,297,Local,2788,3110,3006,
,18/10/2018,219.9,Local,2947,3159,3107,
,20/10/2018,1102.2,Local,2716,3129,3083,
,22/10/2018,554.3,Local,2628,3068,3026,
,23/10/2018,768.7,Local,2545,3109,3023,
,24/10/2018,424.1,Local,2732,3091,3007,
,25/10/2018,501.6,Local,2843,3118,3026,
,26/10/2018,391.1,Local,2637,3126,3083,
,27/10/2018,835.7,Local,2756,3147,3031,
,29/10/2018,47,Local,2215,3120,2847,
,30/10/2018,600.2,Local,2916,3177,3042,
,31/10/2018,363.5,Local,2897,3186,3027,
Durg,20/10/2018,81.4,Other,2400,3000,2700,
,30/10/2018,417.3,Other,2400,3060,2730,
Gandai,06/10/2018,5.7, ,NR,NR,NR,
,08/10/2018,6, ,NR,NR,NR,
,09/10/2018,5,Soyabeen,2600,3400,3399,
,10/10/2018,14.3,Soyabeen,2500,3400,3399,
,11/10/2018,20,Soyabeen,2800,3400,3399,
,12/10/2018,10, ,NR,NR,NR,
,13/10/2018,15, ,NR,NR,NR,
,15/10/2018,5, ,NR,NR,NR,
,16/10/2018,100,Soyabeen,2800,3400,3399,
,17/10/2018,24.8,Soyabeen,2800,3400,3399,
,18/10/2018,20,Soyabeen,2800,3400,3399,
,20/10/2018,15,Soyabeen,2800,3400,3399,
,22/10/2018,20, ,NR,NR,NR,
,23/10/2018,41,Soyabeen,2600,3400,3399,
,25/10/2018,48.1, ,NR,NR,NR,
,27/10/2018,44,Soyabeen,2900,3400,3399,
,29/10/2018,101.9,Soyabeen,2900,3400,3399,
,30/10/2018,51.6,Soyabeen,2900,3400,3399,
,31/10/2018,41.9, ,NR,NR,NR,
Kawardha,01/10/2018,0.4,Yellow,2700,2702,2701,
,04/10/2018,2,Yellow,2700,2825,2800,
,06/10/2018,1,Yellow,2828,3044,3000,
,08/10/2018,0.6,Yellow,2851,2870,2860,
,09/10/2018,6.3,Yellow,2850,3042,2992,
,10/10/2018,1,Yellow,2600,3031,2601,
,11/10/2018,7.6,Yellow,2700,3079,2900,
,13/10/2018,35.8,Yellow,2764,3071,2920,
,14/10/2018,3.2,Yellow,2811,3060,2812,
,15/10/2018,17.4,Yellow,2700,3039,2832,
,16/10/2018,3.1,Yellow,2790,3076,2861,
,17/10/2018,3.6,Yellow,2684,2984,2837,
,21/10/2018,0.6,Yellow,2870,2878,2874,
,22/10/2018,9.1,Yellow,2490,3026,2838,
,23/10/2018,16.9,Yellow,2400,2975,2801,
,24/10/2018,4.2,Yellow,2771,2986,2826,
,25/10/2018,15.2,Yellow,2670,3013,2800,
,27/10/2018,8.5,Yellow,2812,3062,2942,
,28/10/2018,4.4,Yellow,2499,3080,2878,
,29/10/2018,17.4,Yellow,2631,3063,2840,
,30/10/2018,18.3,Yellow,2701,3121,2850,
,31/10/2018,1336.9,Yellow,2750,3064,2800,
Khamhariya,03/10/2018,22.7,Yellow,2700,2700,2700,
,09/10/2018,72.5,Yellow,2650,2750,2700,
,10/10/2018,110,Yellow,2500,2750,2700,
,11/10/2018,40.7,Yellow,2700,2700,2700,
,12/10/2018,114.3,Yellow,2700,2700,2700,
,13/10/2018,72.1,Yellow,2700,2750,2750,
,14/10/2018,78.5,Yellow,2725,2800,2750,
,15/10/2018,78.4,Yellow,2700,2750,2700,
,16/10/2018,41.9,Yellow,2850,2900,2850,
,17/10/2018,101.5,Yellow,2750,2950,2850,
,18/10/2018,84.1,Yellow,2800,2900,2800,
,19/10/2018,111.5,Yellow,2800,2900,2850,
,20/10/2018,19.6,Yellow,2750,2750,2750,
,21/10/2018,127.9,Yellow,2825,2875,2850,
,22/10/2018,81,Yellow,2725,2810,2750,
,23/10/2018,70.8,Yellow,2800,2800,2800,
,24/10/2018,93.5,Yellow,2700,2800,2750,
,25/10/2018,165.7,Yellow,2700,2815,2800,
,26/10/2018,71.1,Yellow,2725,2850,2800,
,27/10/2018,102.3,Yellow,2800,2850,2800,
,28/10/2018,151.7,Yellow,2750,2950,2850,
