2016-01-01,6.5
2016-01-02,10.5
2016-01-03,7.75
2016-01-04,5.0
2016-01-05,5.2
2016-01-06,5.85
2016-01-07,6.5
2016-01-08,3.5
2016-01-09,3.5
2016-01-10,4.2
2016-01-11,6.0
2016-01-12,9.8
2016-01-13,4.1
2016-01-14,2.8
2016-01-15,1.5
2016-01-16,5.8
2016-01-17,3.8
2016-01-18,1.8
2016-01-19,7.9
2016-01-20,5.0
2016-01-21,6.25
2016-01-22,7.5
2016-01-23,9.7
2016-01-24,2.4
2016-01-25,3.8
2016-01-26,9.3
2016-01-27,7.5
2016-01-28,7.0
2016-01-29,2.5
2016-01-30,14.7
2016-01-31,9.5
2016-02-01,18.85
2016-02-02,28.2
2016-02-03,28.3
2016-02-04,32.4
2016-02-05,12.3
2016-02-06,34.4
2016-02-07,14.5
2016-02-08,1.5
2016-02-09,21.5
2016-02-10,28.5
2016-02-11,7.5
2016-02-12,12.3
2016-02-13,28.4
2016-02-14,26.3
2016-02-15,10.0
2016-02-16,16.6
2016-02-17,12.4
2016-02-18,19.4
2016-02-19,16.2
2016-02-20,14.633333333333333
2016-02-21,13.066666666666666
2016-02-22,11.5
2016-02-23,12.2
2016-02-24,30.1
2016-02-25,37.7
2016-02-26,30.0
2016-02-27,25.5
2016-02-28,32.2
2016-02-29,38.9
2016-03-01,38.099999999999994
2016-03-02,37.3
2016-03-03,28.7
2016-03-04,35.8
2016-03-05,29.5
2016-03-06,21.6
2016-03-07,13.7
2016-03-08,12.4
2016-03-09,28.9
2016-03-10,19.1
2016-03-11,9.3
2016-03-12,45.8
2016-03-13,8.0
2016-03-14,33.0
2016-03-15,38.2
2016-03-16,23.0
2016-03-17,13.2
2016-03-18,13.9
2016-03-19,22.0
2016-03-20,17.6
2016-03-21,13.2
2016-03-22,6.2
2016-03-23,5.6
2016-03-24,5.0
2016-03-25,3.5
2016-03-26,23.9
2016-03-27,2.8
2016-03-28,9.05
2016-03-29,15.3
2016-03-30,18.5
2016-03-31,18.5
2016-04-01,6.3
2016-04-02,8.1
2016-04-03,14.850000000000001
2016-04-04,21.6
2016-04-05,100.0
2016-04-06,21.2
2016-04-07,8.0
2016-04-08,11.5
2016-04-09,9.433333333333334
2016-04-10,7.366666666666666
2016-04-11,5.3
2016-04-12,3.0
2016-04-13,5.8
2016-04-14,5.0
2016-04-15,5.0
2016-04-16,2.0
2016-04-17,2.5
2016-04-18,3.0
2016-04-19,10.3
2016-04-20,4.0
2016-04-21,4.5
2016-04-22,5.0
2016-04-23,4.5
2016-04-24,4.0
2016-04-25,2.7
2016-04-26,3.0
2016-04-27,8.7
2016-04-28,6.05
2016-04-29,3.4
2016-04-30,3.5
2016-05-01,3.6333333333333333
2016-05-02,3.7666666666666666
2016-05-03,3.9
2016-05-04,2.0
2016-05-05,4.5
2016-05-06,4.7
2016-05-07,4.9
2016-05-08,5.1
2016-05-09,5.3
2016-05-10,5.5
2016-05-11,6.2
2016-05-12,2.0
2016-05-13,3.5
2016-05-14,5.0
2016-05-15,3.9333333333333336
2016-05-16,2.8666666666666667
2016-05-17,1.8
2016-05-18,4.0
2016-05-19,2.0
2016-05-20,2.5
2016-05-21,2.3333333333333335
2016-05-22,2.1666666666666665
2016-05-23,2.0
2016-05-24,2.0
2016-05-25,1.8333333333333333
2016-05-26,1.6666666666666667
2016-05-27,1.5
2016-05-28,3.0
2016-05-29,2.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.125
2016-06-02,1.25
2016-06-03,1.375
2016-06-04,1.5
2016-06-05,3.5
2016-06-06,5.5
2016-06-07,3.7
2016-06-08,2.0
2016-06-09,2.3
2016-06-10,4.85
2016-06-11,7.4
2016-06-12,4.95
2016-06-13,2.5
2016-06-14,2.3333333333333335
2016-06-15,2.1666666666666665
2016-06-16,2.0
2016-06-17,3.2
2016-06-18,4.4
2016-06-19,4.8
2016-06-20,3.0
2016-06-21,2.6
2016-06-22,2.2
2016-06-23,1.7999999999999998
2016-06-24,1.4
2016-06-25,1.0
2016-06-26,1.0
2016-06-27,1.0
2016-06-28,2.65
2016-06-29,4.3
