Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agar,01/03/2017,87,Other,3200,3820,3600,
,02/03/2017,165,Other,3100,3995,3700,
,03/03/2017,145,Other,3000,4100,3850,
,04/03/2017,155,Other,3000,4080,3800,
,06/03/2017,155,Other,3200,4000,3800,
,07/03/2017,160,Other,3200,4110,3950,
,08/03/2017,135,Other,3400,4150,4000,
,09/03/2017,148,Other,3400,4100,3950,
,10/03/2017,94.5,Other,3250,4110,3850,
,14/03/2017,27,Other,3400,4200,3950,
,15/03/2017,65,Other,3200,4200,4000,
Akodia,01/03/2017,44.86,Other,3400,3660,3600,
,02/03/2017,50.61,Other,3500,3880,3800,
,03/03/2017,33.91,Other,3500,3845,3800,
,04/03/2017,65.7,Other,3500,3870,3800,
,06/03/2017,38.34,Other,3500,3860,3800,
,07/03/2017,55.05,Other,3500,3980,3900,
,08/03/2017,21.27,Other,3700,4117,4000,
,09/03/2017,38.81,Other,3600,4115,4000,
,10/03/2017,34.96,Other,3800,4190,4100,
,11/03/2017,16.44,Other,3800,4190,4050,
,14/03/2017,12.39,Other,3800,4043,4000,
,15/03/2017,20.76,Other,3800,4074,4000,
,16/03/2017,18.98,Other,3800,4011,4000,
,18/03/2017,24.14,Other,3800,4200,4100,
,20/03/2017,38.13,Other,4000,4375,4300,
,21/03/2017,47.02,Other,4000,4500,4400,
,22/03/2017,24.9,Other,4000,4645,4500,
,23/03/2017,36.36,Other,4200,4645,4550,
,24/03/2017,36.59,Other,4000,4456,4400,
,25/03/2017,26.96,Other,4000,4500,4450,
,27/03/2017,15.36,Other,4000,4450,4400,
Alampur,12/03/2017,1,Other,4050,4050,4050,
,16/03/2017,1.1,Other,3800,3935,3865,
,17/03/2017,15.5,Other,3870,4030,3950,
,18/03/2017,18,Other,4125,4200,4155,
,20/03/2017,1.2,Other,4200,4250,4235,
,21/03/2017,39.4,Other,4200,4400,4365,
,22/03/2017,2,Other,4200,4375,4300,
,23/03/2017,14.3,Other,4515,4615,4555,
,24/03/2017,25,Other,4365,4480,4420,
,25/03/2017,14.9,Other,4000,4390,4300,
,27/03/2017,7.2,Other,4300,4335,4320,
,28/03/2017,21.8,Other,4280,4500,4340,
,29/03/2017,5.9,Other,4240,4440,4395,
,30/03/2017,26.9,Other,4150,4380,4240,
,31/03/2017,11.3,Other,4360,4420,4380,
Amarpatan,22/03/2017,5,Other,4150,4200,4180,
,28/03/2017,3,Other,4100,4350,4200,
,30/03/2017,10,Other,4300,4350,4325,
Anuppur,19/03/2017,5,Other,3600,3600,3600,
,20/03/2017,4,Other,3600,3600,3600,
,21/03/2017,4.5,Other,3600,3600,3600,
,22/03/2017,3.3,Other,3600,3600,3600,
,29/03/2017,5,Other,4000,4000,4000,
,30/03/2017,2.63,Other,4000,4000,4000,
Aron,01/03/2017,0.8,Other,3434,3650,3555,
,03/03/2017,1.5,Other,3500,3895,3640,
,04/03/2017,5.6,Other,3710,3956,3800,
,06/03/2017,1.4,Other,3555,3830,3580,
,07/03/2017,1.3,Other,3835,NR,3865,
,08/03/2017,2.8,Other,4050,NR,4095,
,09/03/2017,7,Other,3910,4040,3950,
,10/03/2017,0.6,Other,NR,NR,3850,
,11/03/2017,4.5,Other,4040,NR,4200,
,15/03/2017,1.3,Other,NR,NR,4075,
,16/03/2017,9.7,Other,3710,4055,3950,
,18/03/2017,1.3,Other,3400,NR,4250,
,20/03/2017,8.2,Other,4220,4400,4315,
,21/03/2017,7.4,Other,4200,4471,4385,
,22/03/2017,0.7,Other,NR,NR,4375,
,23/03/2017,2.3,Other,4375,4525,4435,
,24/03/2017,2.8,Other,4255,5490,5000,
,25/03/2017,2.8,Other,4390,4500,4471,
,27/03/2017,1.3,Other,4000,4465,4305,
,28/03/2017,1.9,Other,4030,4303,4255,
Ashoknagar,01/03/2017,155.6,Kala Masoor New,3596,3790,3600,
,02/03/2017,154.5,Kala Masoor New,3450,3920,3650,
,03/03/2017,166.6,Kala Masoor New,3790,4101,3840,
,04/03/2017,143.5,Kala Masoor New,3790,3976,3890,
,06/03/2017,151.8,Kala Masoor New,3625,3875,3790,
,07/03/2017,204.8,Kala Masoor New,3800,4095,3900,
,08/03/2017,181.7,Kala Masoor New,4000,4200,4080,
,09/03/2017,149.5,Kala Masoor New,4000,4151,4023,
,10/03/2017,150,Kala Masoor New,3950,4300,4100,
,16/03/2017,89,Kala Masoor New,3625,4185,4099,
,18/03/2017,80,Kala Masoor New,4126,4326,4290,
,20/03/2017,203.4,Kala Masoor New,4220,4415,4295,
,21/03/2017,138.2,Kala Masoor New,4285,4515,4310,
,22/03/2017,208.3,Kala Masoor New,4250,4575,4400,
,23/03/2017,184.9,Kala Masoor New,4320,4725,4400,
,24/03/2017,207.1,Kala Masoor New,4300,4601,4460,
,25/03/2017,15,Kala Masoor New,4345,4446,4345,
,27/03/2017,106.7,Kala Masoor New,4205,4445,4250,
,28/03/2017,52.6,Kala Masoor New,4106,4520,4306,
Ashta,01/03/2017,237.5,Other,3500,3700,3580,
,02/03/2017,177.4,Other,3370,3850,3627,
,03/03/2017,195,Other,3500,3916,3900,
,06/03/2017,190.1,Other,3440,3845,3750,
,07/03/2017,187.7,Other,3401,3920,3823,
,08/03/2017,127.4,Other,3001,4080,3881,
,09/03/2017,165.9,Other,2790,4001,3800,
,10/03/2017,116.7,Other,3070,4119,4050,
,11/03/2017,91.4,Other,2500,4162,4151,
,18/03/2017,51.6,Other,3701,4200,4038,
,23/03/2017,92.5,Other,3520,4800,4630,
,24/03/2017,134.8,Other,3500,4590,4530,
,25/03/2017,109,Other,3500,4646,4401,
,27/03/2017,54.5,Other,3500,4411,4316,
Badarwas,03/03/2017,21.7,Other,3410,3615,3507,
