Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhattu Kalan,01/08/2019,9.5,999,4005,4015,4010,
Bhattu Kalan,02/08/2019,10.4,999,4000,4020,4005,
Bhattu Kalan,05/08/2019,10.7,999,3700,3850,3750,
Bhattu Kalan,07/08/2019,0.8,999,3945,4000,3945,
Bhattu Kalan,08/08/2019,17.6,999,3950,4050,3970,
Bhattu Kalan,09/08/2019,2.6,999,3950,4025,4010,
Bhattu Kalan,13/08/2019,22.1,999,4000,4035,4005,
Bhattu Kalan,14/08/2019,10.8,999,3990,4000,3995,
Bhattu Kalan,16/08/2019,14,999,4000,4080,4020,
Bhattu Kalan,17/08/2019,3.5,999,4060,4060,4060,
Bhattu Kalan,19/08/2019,18,999,4050,4080,4065,
Bhattu Kalan,20/08/2019,8.1,999,4010,4090,4035,
Bhattu Kalan,21/08/2019,1,999,3930,3930,3930,
Bhattu Kalan,24/08/2019,6.7,999,3950,3982,3950,
Bhattu Kalan,26/08/2019,5.7,999,3871,3950,3900,
Ellanabad,17/08/2019,4.8,Desi (Whole),3710,4076,4057,
Ellanabad,19/08/2019,29.3,Desi (Whole),3650,4000,4000,
Ellanabad,24/08/2019,26.3, ,NR,NR,NR,
Ellanabad,26/08/2019,1.1,Desi (Whole),3930,3930,3930,
Ellanabad,27/08/2019,1.1,Desi (Whole),3800,3825,3815,
Ellanabad,28/08/2019,0.5,Desi (Whole),3907,3907,3907,
Ellanabad,30/08/2019,1,Desi (Whole),3901,3901,3901,
