Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishalgarh,01/05/2018,1.5,Hybrid,1500,2000,1800,
Bishalgarh,05/05/2018,1.8, ,NR,NR,NR,
Bishalgarh,08/05/2018,1.5,Hybrid,1400,1800,1500,
Bishalgarh,12/05/2018,2,Hybrid,1700,2000,1800,
Bishalgarh,15/05/2018,2,Hybrid,1700,2000,1800,
Bishalgarh,19/05/2018,1.5,Hybrid,2000,2500,2200,
Bishalgarh,22/05/2018,1.2,Hybrid,2200,2800,2500,
Bishalgarh,26/05/2018,1.5,Hybrid,2200,2800,2500,
Bishalgarh,29/05/2018,1.5,Hybrid,2000,2500,2200,
Bishramganj,03/05/2018,1.5,Hybrid,1200,2000,1400,
Bishramganj,06/05/2018,1.5,Hybrid,1500,2000,1800,
Bishramganj,13/05/2018,0.5,Hybrid,1700,2000,1800,
Bishramganj,17/05/2018,2,Hybrid,1600,2000,1800,
Bishramganj,20/05/2018,1.2,Hybrid,2000,2500,2200,
Bishramganj,24/05/2018,1.5,Hybrid,2000,2500,2200,
Bishramganj,27/05/2018,2,Hybrid,2200,3000,2500,
Bishramganj,31/05/2018,1.5,Hybrid,2500,3000,2700,
Champaknagar,04/05/2018,0.5,Hybrid,1500,1800,1600,
Champaknagar,07/05/2018,0.4,Hybrid,1500,1800,1600,
Champaknagar,11/05/2018,0.4,Hybrid,2000,2500,2200,
Champaknagar,14/05/2018,0.2,Hybrid,2000,2500,2200,
Champaknagar,18/05/2018,0.3,Hybrid,2500,2800,2600,
Champaknagar,21/05/2018,0.2,Hybrid,3000,3500,3200,
Champaknagar,25/05/2018,0.2,Hybrid,3000,3500,3200,
Champaknagar,28/05/2018,0.2,Hybrid,2500,2800,2600,
Dasda,04/05/2018,0.6,Hybrid,3000,4000,3500,
Dasda,11/05/2018,0.5,Hybrid,2800,3000,2900,
Dasda,18/05/2018,0.5,Hybrid,3600,4000,3800,
Dasda,25/05/2018,0.7,Hybrid,3500,4000,3750,
Garjee,03/05/2018,4,Hybrid,1500,1600,1590,
Garjee,07/05/2018,1,Hybrid,2000,2500,2450,
Garjee,14/05/2018,1,Hybrid,1800,2000,1950,
Garjee,17/05/2018,2,Hybrid,1800,2000,1950,
Garjee,21/05/2018,0.5,Hybrid,2000,2200,2160,
Garjee,24/05/2018,1,Hybrid,2300,2500,2450,
Garjee,30/05/2018,1, ,NR,NR,NR,
Kalyanpur,03/05/2018,0.6,Local,1200,1300,1240,
Kamalghat,04/05/2018,1,Deshi,1600,1800,1700,
Kamalghat,25/05/2018,1,Deshi,2000,2500,2200,
Kamalghat,28/05/2018,1,Deshi,3000,3300,3200,
Kulai,01/05/2018,1,Deshi,1800,2000,1900,
Kulai,08/05/2018,1,Deshi,1800,2000,1900,
Melaghar,01/05/2018,0.3,Other,1900,2100,2000,
Mohanpur,03/05/2018,1,Other,2000,2400,2200,
Mohanpur,21/05/2018,1,Other,2000,2300,2200,
Mohanpur,24/05/2018,1,Other,2000,2200,2100,
Mohanpur,28/05/2018,1,Other,3200,3500,3300,
Mohanpur,31/05/2018,1,Other,2200,2700,2500,
Pabiacherra,02/05/2018,0.6,Hybrid,1250,1300,1275,
Pabiacherra,05/05/2018,0.5,Hybrid,1250,1300,1275,
Pabiacherra,09/05/2018,0.2,Hybrid,1450,1500,1475,
Panichowki,02/05/2018,0.4,Local,1300,1420,1350,
Panichowki,05/05/2018,0.4,Local,1300,1400,1350,
Panichowki,09/05/2018,0.3,Local,1400,1600,1500,
Panichowki,12/05/2018,0.3,Local,1000,1100,1050,
Panisagar,02/05/2018,0.4,Other,1600,1800,1700,
Panisagar,06/05/2018,0.3,Other,1800,2000,1900,
Panisagar,09/05/2018,0.3,Other,1800,2000,1900,
Panisagar,13/05/2018,0.3,Other,1800,2000,1900,
Panisagar,16/05/2018,0.2,Other,1900,2000,1950,
Panisagar,20/05/2018,0.3,Other,2100,2300,2200,
Panisagar,23/05/2018,0.3,Other,2400,2500,2450,
Panisagar,27/05/2018,0.4,Other,2300,2400,2350,
Panisagar,30/05/2018,0.3,Other,2400,2500,2450,
Santir Bazar,03/05/2018,0.3,Tomato,1200,1600,1400,
Santir Bazar,06/05/2018,0.3,Tomato,1200,1600,1400,
Santir Bazar,10/05/2018,0.3,Tomato,1200,1600,1400,
Santir Bazar,13/05/2018,0.3,Tomato,1200,1600,1400,
Sonamura,12/05/2018,2.8,Hybrid,2000,3000,2500,
Teliamura,04/05/2018,4,Hybrid,1400,1700,1500,
Teliamura,07/05/2018,4,Hybrid,1500,1700,1600,
Teliamura,11/05/2018,2,Hybrid,1600,1800,1700,
Teliamura,14/05/2018,4,Hybrid,1500,1700,1600,
Teliamura,18/05/2018,2,Hybrid,2800,3200,3000,
Teliamura,21/05/2018,2,Hybrid,1800,2200,2000,
Teliamura,25/05/2018,2,Hybrid,3000,3400,3200,
Teliamura,28/05/2018,2,Hybrid,2000,2300,2100,
